MS Zoning,Street,Land Contour,Neighborhood,Bldg Type,House Style,Overall Qual,Year Built,Year Remod/Add,Foundation,1st Flr SF,Gr Liv Area,Kitchen Qual,Garage Cars,SalePrice
RL,Pave,Lvl,NAmes,1Fam,1Story,6,1959,1998,CBlock,988,988,Gd,1,149500
RL,Pave,Lvl,NAmes,1Fam,1Story,6,1958,1988,CBlock,1632,1632,TA,1,139000
RL,Pave,Lvl,NAmes,1Fam,1Story,6,1958,1998,CBlock,1215,1215,TA,1,155000
RL,Pave,Lvl,NAmes,1Fam,1Story,5,1956,1956,CBlock,1202,1202,TA,1,120000
RL,Pave,Lvl,NAmes,1Fam,1Story,5,1955,1955,CBlock,1382,1382,Gd,1,153000
RL,Pave,Lvl,NAmes,1Fam,1Story,4,1956,1956,CBlock,1200,1200,TA,1,144000
RL,Pave,Lvl,NAmes,1Fam,SLvl,6,1962,1962,CBlock,1382,1382,TA,2,176000
RL,Pave,Lvl,NAmes,1Fam,1Story,5,1954,1990,CBlock,1297,1297,TA,2,153000
RL,Pave,Lvl,NAmes,Duplex,1Story,5,1958,1958,PConc,1866,1866,TA,2,135000
RL,Pave,Lvl,NAmes,1Fam,1Story,6,1954,1954,CBlock,1062,1062,TA,1,131000
RL,Pave,Lvl,NAmes,1Fam,1Story,5,1953,1953,PConc,1319,1319,TA,1,123000
RL,Pave,Lvl,NAmes,1Fam,1Story,5,1951,1951,CBlock,1112,1112,TA,2,126000
RL,Pave,Lvl,NAmes,1Fam,1Story,4,1955,1955,CBlock,1005,1005,Fa,2,115000
RL,Pave,Lvl,NAmes,1Fam,1Story,5,1951,2000,CBlock,1363,1363,TA,1,164900
RL,Pave,Lvl,NAmes,1Fam,1Story,5,1945,1950,CBlock,793,793,Fa,1,113000
RL,Pave,Lvl,NAmes,1Fam,1Story,5,1952,2005,CBlock,1031,1031,Gd,1,145500
RL,Pave,Lvl,NAmes,1Fam,1Story,5,1953,1953,Slab,1210,1210,TA,1,102900
RL,Pave,Bnk,OldTown,2fmCon,2Story,3,1900,1970,CBlock,1014,1699,TA,2,95000
RL,Pave,Lvl,NAmes,1Fam,2Story,7,1948,1999,CBlock,801,1527,TA,2,152500
RL,Pave,Lvl,NAmes,1Fam,1Story,5,1950,1950,CBlock,1200,1200,TA,1,129900
RL,Pave,Lvl,NAmes,1Fam,1Story,6,1948,2002,CBlock,972,972,TA,1,132000
RL,Pave,Lvl,OldTown,1Fam,1Story,3,1958,1958,CBlock,792,792,TA,1,99900
RL,Pave,Lvl,OldTown,1Fam,1.5Fin,5,1916,1987,CBlock,808,1656,TA,1,135000
RL,Pave,Lvl,OldTown,1Fam,2Story,5,1939,2006,BrkTil,676,1352,Gd,2,149000
RL,Pave,Lvl,OldTown,1Fam,2Story,4,1900,2003,BrkTil,717,1039,TA,1,114000
RL,Pave,Lvl,OldTown,1Fam,1Story,5,1924,2006,BrkTil,792,792,Gd,1,109500
RL,Pave,Lvl,OldTown,1Fam,1Story,5,1925,1950,BrkTil,1078,1078,Ex,1,125000
RL,Pave,Lvl,OldTown,1Fam,1.5Fin,4,1915,1950,BrkTil,1313,2377,Gd,2,142900
RL,Pave,Lvl,OldTown,1Fam,2Story,7,1910,2008,PConc,930,1690,Gd,2,156500
RL,Pave,Lvl,OldTown,1Fam,1Story,2,1940,1950,PConc,599,599,Gd,0,59000
RL,Pave,Lvl,OldTown,1Fam,1.5Fin,4,1920,1950,PConc,840,1374,TA,1,105000
RL,Pave,Lvl,OldTown,1Fam,1Story,5,1920,1950,BrkTil,846,846,Gd,2,106000
RL,Pave,Lvl,OldTown,1Fam,1Story,3,1890,1998,BrkTil,725,725,TA,1,78500
RL,Pave,Lvl,NAmes,Duplex,2Story,6,1969,1969,CBlock,1248,2544,TA,3,190000
RL,Pave,Lvl,NAmes,1Fam,1Story,6,1963,1963,CBlock,1380,1380,TA,1,154000
RL,Pave,Lvl,NAmes,1Fam,1Story,6,1967,1967,CBlock,1040,1040,TA,2,163000
RL,Pave,Lvl,NAmes,Duplex,2Story,5,1969,1969,CBlock,1338,2634,TA,4,200000
RL,Pave,Lvl,NAmes,1Fam,1Story,6,1958,2007,CBlock,951,951,Gd,2,143500
RL,Pave,Lvl,NAmes,1Fam,1Story,6,1957,1957,CBlock,1105,1105,TA,1,135000
RL,Pave,Lvl,NAmes,1Fam,1Story,5,1957,2000,CBlock,1306,1306,TA,1,153000
RL,Pave,Lvl,NAmes,1Fam,1Story,6,1960,1960,CBlock,1478,1478,TA,2,157500
RL,Pave,HLS,NAmes,1Fam,1Story,6,1958,1958,CBlock,1142,1142,TA,1,113500
RL,Pave,Lvl,NAmes,1Fam,1Story,5,1949,1950,CBlock,1036,1268,TA,1,133000
RL,Pave,Lvl,NAmes,Duplex,1Story,3,1950,1950,Slab,1040,1040,TA,2,92900
RL,Pave,Lvl,NAmes,1Fam,1.5Fin,6,1950,1950,CBlock,765,1133,TA,2,128500
RL,Pave,Lvl,NAmes,Duplex,1Story,4,1949,1950,Slab,1040,1040,TA,2,90000
RL,Pave,Lvl,NAmes,1Fam,1.5Fin,5,1950,1982,CBlock,1136,1904,TA,1,138000
RL,Pave,Lvl,NAmes,1Fam,1Story,5,1958,1958,CBlock,1041,1041,TA,1,128000
RL,Pave,Lvl,NAmes,1Fam,1Story,5,1958,1965,CBlock,1339,1339,TA,1,139000
RL,Pave,Lvl,NAmes,1Fam,1Story,5,1952,1952,CBlock,732,732,TA,1,118900
RL,Pave,Lvl,NAmes,1Fam,SLvl,5,1959,1959,CBlock,1183,1183,TA,1,138000
RL,Pave,Lvl,NAmes,1Fam,1Story,5,1959,1959,CBlock,1148,1148,TA,1,132500
RL,Pave,Lvl,NAmes,1Fam,1.5Fin,4,1949,1996,CBlock,832,1461,TA,1,133500
RL,Pave,Lvl,NAmes,1Fam,1.5Fin,6,1948,1994,CBlock,1064,1495,TA,2,135000
RL,Pave,Lvl,NAmes,1Fam,2Story,6,1964,1964,CBlock,993,1806,TA,2,144750
RL,Pave,Lvl,NAmes,Duplex,SFoyer,5,1978,1978,CBlock,941,941,Gd,2,145000
RL,Pave,Lvl,NAmes,1Fam,1Story,6,1963,1963,CBlock,1045,1045,TA,1,127000
RL,Pave,Lvl,NAmes,1Fam,1Story,5,1962,1962,CBlock,894,894,TA,1,109500
RM,Pave,Bnk,OldTown,1Fam,1.5Fin,6,1926,2004,CBlock,818,1224,TA,1,115000
RM,Pave,Lvl,OldTown,1Fam,2Story,5,1910,1981,PConc,682,1230,TA,2,110000
RM,Pave,Lvl,OldTown,1Fam,1.5Fin,6,1935,1998,PConc,861,1378,Gd,1,128900
RM,Pave,Lvl,OldTown,Duplex,2Story,6,1910,1950,CBlock,972,1944,TA,2,103500
RM,Pave,Lvl,OldTown,1Fam,1.5Fin,5,1941,1950,CBlock,676,1131,TA,1,66500
RM,Pave,Lvl,OldTown,1Fam,1.5Fin,5,1910,2003,CBlock,810,1306,Gd,2,130000
RM,Pave,Lvl,OldTown,1Fam,2Story,5,1910,2002,CBlock,764,1464,TA,0,129000
RM,Pave,Lvl,OldTown,1Fam,2Story,5,1939,1950,BrkTil,868,1558,TA,2,150000
RM,Pave,Lvl,OldTown,1Fam,2Story,5,1892,1965,Stone,1378,2372,TA,1,107500
RM,Pave,Lvl,OldTown,2fmCon,2Story,4,1920,1950,BrkTil,1101,1701,Fa,0,94550
RM,Pave,Lvl,OldTown,Duplex,2Story,5,1952,1952,CBlock,960,1960,TA,2,124500
RM,Pave,HLS,OldTown,1Fam,2Story,7,1946,1992,CBlock,707,1389,TA,1,135000
RM,Pave,Lvl,OldTown,1Fam,1.5Fin,5,1910,1950,BrkTil,801,1447,TA,0,103000
RM,Pave,Bnk,OldTown,2fmCon,1Story,4,1953,1953,CBlock,936,936,TA,2,93000
RM,Pave,Lvl,OldTown,1Fam,1.5Fin,5,1950,1970,CBlock,768,1328,TA,1,129500
RM,Pave,Lvl,OldTown,2fmCon,1.5Fin,5,1954,1954,CBlock,811,1387,Gd,1,93000
RM,Pave,Lvl,OldTown,1Fam,1Story,4,1920,1950,BrkTil,861,861,TA,2,80000
RM,Pave,Lvl,OldTown,1Fam,1Story,2,1940,1950,BrkTil,612,612,TA,1,45000
RM,Pave,Lvl,OldTown,1Fam,1.5Fin,3,1910,1950,BrkTil,600,968,TA,0,37900
RM,Pave,Lvl,OldTown,1Fam,1Story,5,1938,1996,BrkTil,886,886,TA,1,91300
RM,Pave,Lvl,OldTown,1Fam,1Story,5,1923,1950,PConc,792,792,TA,1,99500
RM,Pave,Lvl,OldTown,2fmCon,2Story,4,1920,2008,BrkTil,736,1452,TA,0,113000
RM,Pave,Lvl,OldTown,1Fam,2Story,4,1910,1950,BrkTil,833,1510,Gd,2,87500
RM,Pave,Lvl,OldTown,1Fam,1.5Fin,5,1947,1950,CBlock,720,1284,TA,1,110000
RM,Pave,Lvl,OldTown,1Fam,2.5Unf,5,1898,1965,PConc,1075,2138,TA,2,106000
RM,Pave,Lvl,OldTown,1Fam,2Story,7,1880,2003,Stone,1320,2640,Gd,4,265979
RM,Pave,Lvl,OldTown,1Fam,2Story,6,1900,1950,BrkTil,1090,2007,Ex,1,160000
RM,Pave,Lvl,OldTown,1Fam,2Story,6,1917,2007,BrkTil,664,1288,Ex,1,119000
RM,Pave,Lvl,OldTown,1Fam,2Story,8,1882,1986,BrkTil,916,1742,Gd,2,168000
C (all),Pave,Lvl,OldTown,1Fam,1Story,4,1910,1950,BrkTil,816,816,TA,0,58500
RM,Pave,Lvl,OldTown,1Fam,2Story,7,1920,1988,PConc,832,1482,TA,2,143000
RM,Pave,Lvl,OldTown,1Fam,1Story,5,1910,2006,BrkTil,1022,1022,TA,1,85000
RM,Pave,Lvl,OldTown,1Fam,1.5Fin,5,1890,1996,BrkTil,1188,1869,TA,2,124900
RM,Pave,Lvl,OldTown,1Fam,1.5Fin,6,1920,1950,BrkTil,1044,1480,TA,1,119000
RM,Pave,Lvl,OldTown,1Fam,2Story,6,1910,2002,PConc,780,1521,Gd,3,146500
C (all),Pave,Lvl,IDOTRR,1Fam,1Story,4,1920,1950,CBlock,720,720,TA,0,34900
C (all),Pave,Lvl,IDOTRR,1Fam,1Story,3,1900,1950,CBlock,797,797,TA,0,44000
RL,Pave,Lvl,BrkSide,1Fam,2Story,5,1923,2004,CBlock,1072,1576,Gd,2,223500
RL,Pave,Lvl,BrkSide,1Fam,1Story,6,1923,1950,BrkTil,1432,1432,Gd,1,149000
RL,Pave,Lvl,BrkSide,1Fam,1.5Fin,7,1925,2007,BrkTil,952,1548,Ex,2,205000
RL,Pave,Lvl,BrkSide,1Fam,1.5Fin,5,1930,1982,CBlock,1001,1654,TA,1,137000
RL,Pave,Lvl,BrkSide,1Fam,1.5Unf,6,1916,1950,BrkTil,952,952,Fa,1,121000
RM,Pave,Lvl,BrkSide,1Fam,1.5Fin,4,1936,1950,BrkTil,757,1324,TA,1,128000
RM,Pave,Lvl,BrkSide,1Fam,1.5Fin,6,1937,2000,BrkTil,786,1176,TA,2,134900
RM,Pave,Lvl,BrkSide,1Fam,1.5Fin,5,1925,1997,BrkTil,884,1348,TA,1,117000
RM,Pave,Lvl,BrkSide,1Fam,1.5Fin,6,1939,1950,CBlock,825,1412,TA,1,132500
RM,Pave,Lvl,BrkSide,1Fam,1.5Fin,5,1924,1950,BrkTil,822,1142,TA,1,93000
RM,Pave,Lvl,BrkSide,1Fam,1.5Unf,6,1926,2004,PConc,904,904,TA,1,119000
RM,Pave,Lvl,BrkSide,1Fam,1Story,5,1924,1950,PConc,1301,1301,Fa,2,100000
RM,Pave,Lvl,BrkSide,1Fam,1.5Fin,5,1936,1950,BrkTil,1067,1539,TA,2,141500
RM,Pave,Lvl,BrkSide,1Fam,1.5Fin,4,1935,1995,BrkTil,989,1573,Gd,1,133000
RM,Pave,Lvl,BrkSide,1Fam,1Story,2,1936,1950,BrkTil,800,800,Fa,0,60000
RM,Pave,Lvl,BrkSide,1Fam,1Story,5,1931,1993,BrkTil,875,875,TA,1,105000
RM,Pave,Lvl,BrkSide,1Fam,1Story,5,1925,1999,BrkTil,995,995,TA,1,115000
RM,Pave,Lvl,BrkSide,1Fam,1.5Fin,5,1938,1950,BrkTil,994,1582,TA,1,150000
RM,Pave,Lvl,BrkSide,1Fam,1Story,5,1925,1950,BrkTil,1072,1072,TA,5,126500
RL,Pave,Bnk,BrkSide,1Fam,2.5Unf,6,1916,1994,BrkTil,1445,2134,Gd,2,214500
RL,Pave,Lvl,BrkSide,1Fam,2Story,7,1910,1993,BrkTil,1136,2019,Gd,2,167500
RM,Pave,Lvl,OldTown,1Fam,2Story,6,1915,1950,PConc,1048,1768,TA,2,155000
RM,Pave,Lvl,OldTown,1Fam,2Story,7,1915,2005,PConc,916,1826,Ex,1,155000
RM,Pave,Lvl,OldTown,1Fam,2Story,7,1915,1994,BrkTil,1272,1944,TA,1,179900
RM,Pave,Lvl,OldTown,1Fam,2.5Fin,6,1912,1950,CBlock,929,2229,TA,0,104000
RM,Pave,Bnk,OldTown,Duplex,2Story,5,1922,1950,BrkTil,1088,2128,TA,0,62500
RM,Pave,Lvl,IDOTRR,1Fam,2Story,6,1927,1950,CBlock,1146,1930,TA,1,149000
RM,Pave,Lvl,IDOTRR,1Fam,1.5Fin,4,1925,1950,CBlock,848,1208,TA,2,103000
RM,Pave,Bnk,OldTown,1Fam,2Story,6,1915,2002,BrkTil,741,1427,Gd,1,123000
RM,Pave,Bnk,OldTown,2fmCon,2.5Unf,7,1902,2000,BrkTil,978,1864,TA,0,97500
RM,Pave,Lvl,IDOTRR,1Fam,1.5Fin,6,1927,1950,BrkTil,1204,1666,TA,1,135000
RM,Pave,Lvl,IDOTRR,1Fam,SFoyer,4,1923,1950,PConc,892,892,Gd,0,70000
RM,Pave,Bnk,IDOTRR,2fmCon,2Story,6,1915,1965,CBlock,754,1403,TA,1,116000
RL,Pave,Lvl,Sawyer,1Fam,1Story,4,1946,2001,CBlock,704,704,Fa,1,88750
RL,Pave,Lvl,Edwards,Duplex,1Story,5,1987,1988,CBlock,1200,1200,TA,0,179000
RL,Pave,Lvl,Edwards,Duplex,1Story,5,1987,1988,CBlock,1200,1200,TA,0,179000
RL,Pave,Lvl,Edwards,Duplex,SFoyer,5,1978,1978,PConc,1152,1152,TA,1,159900
RL,Pave,Low,Edwards,1Fam,1Story,1,1922,1950,BrkTil,904,904,Fa,0,61000
RH,Pave,Lvl,Edwards,1Fam,2Story,6,1925,1950,BrkTil,697,1369,TA,1,103600
RL,Pave,Lvl,Edwards,1Fam,1.5Fin,5,1934,1950,PConc,687,1112,TA,1,63000
RL,Pave,Lvl,Sawyer,1Fam,SLvl,5,1963,1999,CBlock,1464,1464,TA,2,175000
RL,Pave,Lvl,Sawyer,1Fam,1Story,5,1963,1963,PConc,1121,1121,TA,2,139000
RL,Pave,Lvl,Sawyer,1Fam,2Story,6,1978,1978,CBlock,918,1683,TA,2,172500
RL,Pave,Lvl,Sawyer,1Fam,1Story,5,1967,1967,CBlock,1052,1052,TA,1,113500
RL,Pave,Lvl,Sawyer,1Fam,1Story,5,1967,2004,PConc,899,899,Gd,1,130000
RL,Pave,Lvl,Sawyer,1Fam,SFoyer,6,1978,1978,CBlock,1034,1034,TA,2,149900
RL,Pave,Lvl,Sawyer,1Fam,SFoyer,5,1982,1982,CBlock,858,858,TA,2,134900
RL,Pave,Lvl,Sawyer,1Fam,SFoyer,5,1982,1982,CBlock,860,860,TA,2,137000
RL,Pave,Lvl,Sawyer,1Fam,1Story,5,1962,1962,CBlock,1092,1092,TA,1,139000
RL,Pave,Lvl,Sawyer,1Fam,SLvl,5,1961,1961,CBlock,904,1774,TA,1,165000
RL,Pave,Lvl,Sawyer,1Fam,SLvl,6,1960,1960,CBlock,1138,1138,TA,2,148000
RL,Pave,Lvl,ClearCr,1Fam,SLvl,5,1956,1956,CBlock,2071,2071,TA,1,165000
RL,Pave,Lvl,Sawyer,1Fam,1Story,2,1947,1950,Slab,660,660,Fa,0,63900
RL,Pave,Lvl,ClearCr,1Fam,1.5Fin,4,1957,1989,CBlock,1104,1788,TA,1,161500
RL,Pave,Low,ClearCr,1Fam,1Story,5,1968,2003,CBlock,1473,1473,Ex,1,143000
RL,Pave,Lvl,Edwards,1Fam,1Story,4,1956,1956,CBlock,1229,1229,TA,1,135000
RL,Pave,Lvl,Edwards,1Fam,1Story,4,1940,1950,CBlock,861,861,TA,2,82500
RL,Pave,Lvl,ClearCr,1Fam,1Story,5,1955,1993,CBlock,1867,1867,TA,1,190000
RL,Pave,Lvl,Edwards,1Fam,1Story,3,1955,1955,Slab,1733,1733,TA,2,139600
RL,Pave,Lvl,Edwards,1Fam,1Story,4,1954,1954,CBlock,1383,1383,TA,2,122000
RL,Pave,Lvl,Edwards,1Fam,1Story,6,1956,1956,CBlock,1689,1689,TA,2,127500
RL,Pave,Lvl,Edwards,1Fam,1Story,5,1956,1956,CBlock,1073,1073,TA,1,121500
RL,Pave,Lvl,Edwards,1Fam,1Story,5,1958,1958,CBlock,1276,1276,TA,1,60000
RL,Pave,Bnk,Edwards,1Fam,2Story,6,1946,1950,CBlock,892,1639,Gd,1,154400
RL,Pave,Lvl,Edwards,1Fam,1Story,4,1941,1950,CBlock,672,672,TA,1,113000
RL,Pave,Lvl,Edwards,1Fam,1Story,5,1954,1954,CBlock,1089,1089,TA,1,125000
RL,Pave,Lvl,Edwards,1Fam,1Story,4,1957,1957,Slab,845,845,TA,1,84000
RL,Pave,Lvl,Edwards,TwnhsE,1Story,5,1984,1984,CBlock,1049,1049,Gd,1,139500
RL,Pave,Lvl,Edwards,1Fam,1.5Fin,5,1949,2008,CBlock,1148,1716,TA,1,131000
RL,Pave,Lvl,Edwards,1Fam,1.5Fin,6,1939,1950,BrkTil,698,1258,TA,1,105000
RL,Pave,Lvl,Edwards,1Fam,2Story,4,1940,1950,CBlock,755,1510,TA,1,108000
RL,Pave,Lvl,SawyerW,1Fam,SLvl,7,1990,1991,PConc,1061,1061,Gd,2,162000
RL,Pave,Lvl,SawyerW,1Fam,SLvl,6,1983,1983,CBlock,1338,1338,Gd,2,156500
RL,Pave,Low,SawyerW,1Fam,1.5Fin,8,1983,2009,CBlock,1496,2132,Gd,2,316600
RL,Pave,Lvl,SawyerW,1Fam,1Story,7,1990,1991,CBlock,2196,2196,Gd,3,271900
RL,Pave,Lvl,SawyerW,1Fam,2Story,7,1993,1993,PConc,1006,1775,Gd,2,213000
RL,Pave,Lvl,SawyerW,1Fam,2Story,7,1993,1994,PConc,1079,1879,Gd,2,239900
RL,Pave,Lvl,SawyerW,1Fam,2Story,8,1995,1995,PConc,1142,2020,Gd,2,239500
RL,Pave,Bnk,SawyerW,1Fam,2Story,5,1880,2007,PConc,1288,2016,TA,2,131000
RL,Pave,Bnk,SawyerW,Duplex,1Story,5,1979,1979,Slab,1535,1535,TA,2,118964
RL,Pave,Bnk,SawyerW,Duplex,SFoyer,5,1979,1979,CBlock,1224,1224,TA,2,153337
RL,Pave,Lvl,SawyerW,Duplex,2Story,5,1979,1979,Slab,1114,2228,TA,2,147983
RL,Pave,Bnk,SawyerW,Duplex,1Story,5,1979,1979,Slab,1535,1535,TA,2,118858
RL,Pave,Bnk,SawyerW,Duplex,1Story,5,1979,1979,Slab,1535,1535,TA,2,118858
RL,Pave,Lvl,SawyerW,Duplex,2Story,5,1979,1979,Slab,1120,2240,TA,2,142953
RL,Pave,Lvl,SawyerW,Duplex,SFoyer,5,1979,1979,CBlock,1229,1229,Gd,2,148325
RL,Pave,Bnk,SawyerW,Duplex,1Story,5,1979,1979,Slab,1513,1513,TA,2,113722
RL,Pave,Lvl,SawyerW,Duplex,2Story,7,2000,2000,PConc,1168,2787,TA,4,269500
RL,Pave,Lvl,SawyerW,Duplex,2Story,7,2000,2000,PConc,1168,2787,TA,4,269500
RL,Pave,Lvl,SawyerW,Duplex,2Story,7,2000,2000,PConc,1168,2787,TA,4,269500
RL,Pave,Lvl,CollgCr,1Fam,1Story,9,2009,2009,PConc,1680,1680,Ex,3,323262
RL,Pave,Lvl,CollgCr,1Fam,1Story,8,2007,2008,PConc,1718,1718,Gd,3,297000
RL,Pave,Lvl,CollgCr,1Fam,1Story,8,2008,2008,PConc,1630,1630,Ex,3,295493
RL,Pave,Lvl,CollgCr,1Fam,1Story,9,2008,2008,PConc,1720,1720,Ex,3,332000
RL,Pave,Lvl,CollgCr,1Fam,1Story,8,2008,2008,PConc,1468,1468,Gd,3,239900
RL,Pave,Lvl,CollgCr,1Fam,2Story,8,2007,2007,PConc,866,1768,Gd,2,212000
RL,Pave,Lvl,CollgCr,1Fam,1Story,8,2007,2008,PConc,1838,1838,Gd,2,272500
RL,Pave,Lvl,CollgCr,1Fam,1Story,9,2007,2007,PConc,1800,1800,Ex,2,239000
RL,Pave,Lvl,CollgCr,1Fam,1Story,7,2006,2006,PConc,1604,1604,Gd,2,220000
RL,Pave,Lvl,CollgCr,1Fam,1Story,7,2007,2007,PConc,1290,1290,Gd,2,200000
RL,Pave,Lvl,CollgCr,1Fam,1Story,8,2008,2008,PConc,1254,1254,Gd,3,221800
RL,Pave,Lvl,CollgCr,1Fam,1Story,7,2007,2007,PConc,1232,1232,Gd,2,194500
RL,Pave,Lvl,CollgCr,1Fam,1Story,8,2005,2006,PConc,1498,1498,Gd,3,237000
RL,Pave,Lvl,CollgCr,1Fam,2Story,6,2005,2006,PConc,704,1422,Gd,2,173000
RL,Pave,Low,SawyerW,1Fam,SLvl,7,1989,1989,PConc,1644,1644,Gd,2,275000
RL,Pave,HLS,ClearCr,1Fam,2Story,7,1992,1993,PConc,944,1759,Gd,2,233500
RL,Pave,Low,ClearCr,1Fam,2Story,5,1967,1967,PConc,1160,2126,TA,2,185000
RL,Pave,Low,CollgCr,1Fam,1Story,5,1996,1996,PConc,1040,1040,Gd,2,152000
RL,Pave,Low,CollgCr,1Fam,1Story,5,1994,1994,PConc,990,990,TA,1,143000
RL,Pave,Lvl,CollgCr,1Fam,2Story,6,1997,1997,PConc,928,1764,Gd,2,231500
RL,Pave,Lvl,CollgCr,1Fam,2Story,7,1996,1996,PConc,827,1661,Gd,2,212000
RL,Pave,Low,CollgCr,1Fam,1Story,7,1998,1998,PConc,1463,1463,TA,2,207000
RL,Pave,Lvl,CollgCr,1Fam,1Story,5,1994,1995,PConc,1097,1097,TA,2,145000
RL,Pave,Lvl,CollgCr,1Fam,1Story,5,1994,1995,PConc,990,990,TA,2,138000
RL,Pave,Lvl,CollgCr,1Fam,2Story,7,1998,1998,PConc,866,1779,Gd,2,197900
RL,Pave,Lvl,CollgCr,1Fam,1Story,7,1999,1999,PConc,1501,1501,Gd,2,204000
RL,Pave,Lvl,CollgCr,1Fam,1Story,7,1999,1999,PConc,1431,1431,Gd,2,192000
RL,Pave,Lvl,CollgCr,1Fam,2Story,6,1998,1998,PConc,928,1772,TA,2,200000
RL,Pave,Lvl,CollgCr,1Fam,2Story,7,2002,2002,PConc,831,1660,Gd,2,195000
RL,Pave,Lvl,CollgCr,1Fam,1Story,7,2002,2002,PConc,1573,1573,Gd,2,227000
RL,Pave,Lvl,CollgCr,1Fam,2Story,7,2001,2001,PConc,944,1840,Gd,2,230000
RL,Pave,Lvl,CollgCr,1Fam,1Story,7,2001,2002,PConc,1430,1430,Gd,2,187100
RL,Pave,Lvl,CollgCr,1Fam,1Story,7,2002,2001,PConc,1444,1444,Gd,2,203000
RL,Pave,Lvl,CollgCr,1Fam,1Story,7,2001,2001,PConc,1492,1492,Gd,2,201000
RL,Pave,HLS,CollgCr,1Fam,1Story,5,1978,1978,CBlock,1040,1040,TA,0,124000
RL,Pave,Lvl,CollgCr,1Fam,1Story,5,1978,1978,BrkTil,907,907,TA,1,140000
RL,Pave,Lvl,CollgCr,1Fam,1Story,5,1979,1979,CBlock,914,914,TA,2,134900
RL,Pave,Lvl,CollgCr,1Fam,1Story,5,1977,2008,CBlock,1040,1040,Gd,2,150500
RL,Pave,Lvl,CollgCr,1Fam,1Story,5,1978,2005,CBlock,864,864,TA,1,136500
RL,Pave,Lvl,CollgCr,1Fam,1Story,5,1977,1989,CBlock,1268,1268,Gd,1,143500
RL,Pave,Lvl,CollgCr,1Fam,1Story,5,1972,1972,CBlock,864,864,TA,1,133500
RL,Pave,Low,CollgCr,1Fam,1Story,5,1972,1972,CBlock,894,894,TA,2,123000
RL,Pave,Lvl,CollgCr,1Fam,SFoyer,5,1972,2003,CBlock,768,768,TA,1,133900
RL,Pave,Lvl,CollgCr,1Fam,SFoyer,5,1972,2007,CBlock,768,768,TA,2,133000
RL,Pave,Lvl,CollgCr,1Fam,1Story,7,2002,2002,PConc,1611,1611,Gd,3,250000
RL,Pave,Lvl,CollgCr,1Fam,2Story,8,2003,2003,PConc,1068,2184,Gd,2,254750
RL,Pave,Lvl,CollgCr,1Fam,1Story,8,2001,2001,PConc,1788,1788,Ex,2,236500
RL,Pave,Lvl,CollgCr,1Fam,2Story,8,2001,2001,PConc,1299,1872,Ex,2,261500
RL,Pave,Lvl,CollgCr,1Fam,2Story,9,2000,2000,PConc,1476,2153,Ex,3,313000
RL,Pave,Lvl,CollgCr,1Fam,2Story,7,2002,2002,PConc,840,1725,Gd,2,198500
RL,Pave,Lvl,CollgCr,1Fam,2Story,7,2001,2001,PConc,944,1870,Gd,2,211000
RL,Pave,Lvl,CollgCr,1Fam,1Story,8,1999,2000,PConc,1513,1513,Gd,2,220000
RL,Pave,Lvl,CollgCr,1Fam,1Story,7,1996,1996,PConc,1504,1504,Gd,2,203000
RL,Pave,Lvl,CollgCr,1Fam,1Story,8,2002,2003,PConc,1828,1828,Gd,2,279500
RL,Pave,Lvl,CollgCr,1Fam,1Story,7,1997,1998,PConc,1417,1417,Gd,2,210000
RL,Pave,Lvl,CollgCr,1Fam,2Story,7,1997,1998,PConc,1057,2034,Gd,2,219500
RL,Pave,Lvl,CollgCr,1Fam,2Story,7,1996,1996,PConc,909,1716,Gd,2,191000
RL,Pave,Lvl,CollgCr,1Fam,1Story,7,2001,2001,PConc,1212,1212,Gd,2,178000
RL,Pave,Lvl,CollgCr,1Fam,1Story,7,2000,2001,PConc,1630,1630,Gd,2,213000
RM,Pave,Lvl,CollgCr,TwnhsE,1Story,6,2003,2004,PConc,848,848,Gd,2,144000
RM,Pave,Lvl,CollgCr,TwnhsE,1Story,6,2003,2003,PConc,848,848,Gd,2,140000
RL,Pave,Lvl,CollgCr,1Fam,1Story,8,2007,2007,PConc,1602,1602,Gd,3,293200
RL,Pave,Lvl,CollgCr,1Fam,2Story,7,2004,2004,PConc,864,1728,Gd,2,190000
RL,Pave,Lvl,CollgCr,1Fam,1Story,7,2004,2004,PConc,1500,1500,Gd,2,190000
RL,Pave,Lvl,CollgCr,1Fam,2Story,6,2005,2005,PConc,738,1476,Gd,2,173500
RL,Pave,Lvl,CollgCr,1Fam,2Story,6,2007,2007,PConc,608,1396,Gd,2,170000
RL,Pave,Lvl,Edwards,1Fam,1Story,4,1949,2003,CBlock,1126,1126,Gd,2,108000
RL,Pave,Lvl,Edwards,1Fam,1Story,5,1964,1999,PConc,1486,1486,TA,2,167000
RL,Pave,Lvl,Edwards,1Fam,1Story,4,1938,1958,CBlock,816,816,TA,1,100000
RL,Pave,Lvl,Edwards,1Fam,SFoyer,7,2003,2003,Slab,495,1922,Gd,2,198500
RL,Pave,Bnk,Edwards,1Fam,2Story,6,1977,1977,CBlock,698,1426,TA,2,159500
RL,Pave,Lvl,Edwards,1Fam,1Story,4,1960,1971,CBlock,1149,1149,TA,1,127000
RL,Pave,Lvl,Edwards,1Fam,SLvl,6,1976,1976,CBlock,1125,1125,TA,1,125000
